Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,7,Minimarkets,Black,400-599G,1.1924,193.56644,0.5366,292
2020,7,Minimarkets,Red,350-399G,0.7997,132.964286,0.2959,484
2020,7,Minimarkets,White,<200G,1.3448,119.129525,0.242,394
2020,7,Minimarkets,Khaki,350-399G,0.4297,86.020452,0.1504,0
2020,7,Minimarkets,Orange,250-299G,0.0053,1.922279,0.0015,2
2020,7,Minimarkets,Orange,400-599G,0.6454,70.732262,0.2581,422
2020,7,Minimarkets,Pale,<200G,0.0299,10.112935,0.0057,0
2020,7,Minimarkets,Pale,400-599G,0.1454,46.945756,0.0582,0
2020,7,Minimarkets,Delicate,400-599G,0.4858,51.738094,0.2429,400
2020,7,Supermarkets,Green,200-249G,86.1022,5422.054982,18.0815,11371
2020,7,Supermarkets,Green,350-399G,67.7327,5977.697769,23.7064,7935
2020,7,Supermarkets,Green,400-599G,11.1159,1411.179164,5.558,1569
2020,7,Supermarkets,Green,600-899G,1.0494,147.300122,0.7871,117
2020,7,Supermarkets,Blue,400-599G,36.3771,6144.165251,14.5509,2354
2020,7,Supermarkets,Yellow,350-399G,21.8827,1520.411846,7.8778,2063
2020,7,Supermarkets,Black,200-249G,8.3303,521.917002,1.916,1689
2020,7,Supermarkets,Black,400-599G,2.7617,499.183237,1.2428,1130
2020,7,Supermarkets,Red,350-399G,2.5479,411.200988,0.9427,718
2020,7,Supermarkets,Pale,<200G,0.02,3.348456,0.0038,7
2020,7,Supermarkets,Pale,350-399G,0.0007,0.242017,0.0002,1
2020,7,Supermarkets,Pale,400-599G,1.3619,374.905378,0.5448,235
